"","nm","Freq"
"1",1,6
"2",2,5
"3",3,8
"4",4,5
"5",5,5
"6",6,6
"7",7,4
"8",8,6
"9",9,8
"10",10,7
"11",11,8
"12",12,6
"13",13,9
"14",14,5
"15",15,7
"16",16,7
"17",17,9
"18",18,4
"19",19,10
"20",20,11
"21",21,8
"22",22,5
"23",23,5
"24",24,7
"25",25,6
"26",26,5
"27",27,8
"28",28,12
"29",29,8
"30",30,11
"31",31,7
"32",32,6
"33",33,4
"34",34,4
"35",35,8
"36",36,12
"37",37,19
"38",38,9
"39",39,9
"40",40,4
"41",41,10
"42",42,9
"43",43,12
"44",44,7
"45",45,6
"46",46,7
"47",47,6
"48",48,11
"49",49,10
"50",50,7
"51",51,13
"52",52,5
"53",53,10
"54",54,6
"55",55,5
"56",56,11
"57",57,5
"58",58,10
"59",59,12
"60",60,5
"61",61,6
"62",62,7
"63",63,6
"64",64,1
"65",65,6
"66",66,15
"67",67,4
"68",68,6
"69",69,5
"70",70,5
"71",71,7
"72",72,5
"73",73,9
"74",74,11
"75",75,4
"76",76,11
"77",77,8
"78",78,6
"79",79,5
"80",80,3
"81",81,13
"82",82,15
"83",83,20
"84",84,13
"85",85,8
"86",86,17
"87",87,11
"88",88,9
"89",89,6
"90",90,9
"91",91,6
"92",92,11
"93",93,10
"94",94,14
"95",95,11
"96",96,7
"97",97,10
"98",98,10
"99",99,16
"100",100,16
"101",101,12
"102",102,11
"103",103,14
"104",104,16
"105",105,13
"106",106,12
"107",107,8
"108",108,12
"109",109,14
"110",110,8
"111",111,12
"112",112,7
"113",113,10
"114",114,13
"115",115,10
"116",116,11
"117",117,26
"118",118,15
"119",119,29
"120",120,19
"121",121,22
"122",122,19
"123",123,17
"124",124,20
"125",125,23
"126",126,21
"127",127,15
"128",128,24
"129",129,20
"130",130,18
"131",131,22
"132",132,8
"133",133,6
"134",134,20
"135",135,14
"136",136,10
"137",137,14
"138",138,19
"139",139,15
"140",140,16
"141",141,12
"142",142,10
"143",143,10
"144",144,12
"145",145,21
"146",146,13
"147",147,9
"148",148,14
"149",149,16
"150",150,19
"151",151,17
"152",152,14
"153",153,21
"154",154,16
"155",155,31
"156",156,10
"157",157,17
"158",158,17
"159",159,11
"160",160,21
"161",161,20
"162",162,19
"163",163,15
"164",164,9
"165",165,12
"166",166,16
"167",167,18
"168",168,16
"169",169,20
"170",170,31
