g1,freqa,freqp,ch4,co,coch4,co2,coch4co2,coco2,coco2ch4,
1990,466,24,1.73195419,99.638625,101.3705792,354.5891468,455.959726,454.2277718,455.959726,
1991,462,16,1.740327407,104.8639252,106.6042526,355.8970938,462.5013464,460.761019,462.5013464,450
1992,460,27,1.745714286,104.8640625,106.6097768,357.0290941,463.6388709,461.8931566,463.6388709,
1993,460,17,1.749114343,97.32737374,99.07648808,357.4273684,456.5038565,454.7547421,456.5038565,
1994,462,19,1.757519109,102.4658416,104.2233607,358.7923529,463.0157136,461.2581945,463.0157136,
1995,471,11,1.761560707,99.7089899,101.4705506,360.8617526,462.3323032,460.5707425,462.3323032,
1996,463,12,1.763040625,96.86622449,98.62926512,362.8253807,461.4546458,459.6916052,461.4546458,
1997,459,19,1.776714286,103.0719048,104.8486191,365.5574396,470.4060587,468.6293444,470.4060587,
1998,464,15,1.778473077,110.4630144,112.2414875,367.0193301,479.2608176,477.4823445,479.2608176,
1999,466,14,1.785698971,95.80862069,97.59431966,369.0660784,466.6603981,464.8746991,466.6603981,
2000,469,19,1.783232408,91.79216931,93.57540172,370.5314583,464.10686,462.3236276,464.10686,
2001,467,17,1.785110714,95.09423469,96.8793454,371.3453807,468.2247261,466.4396154,468.2247261,
2002,464,16,1.776061626,94.49970443,96.27576606,373.3293596,469.6051257,467.829064,469.6051257,
2003,471,16,1.791426682,103.7963033,105.58773,376.2147393,481.8024693,480.0110426,481.8024693,
2004,466,16,1.790193695,101.7208374,103.5110311,378.1869951,481.6980262,479.9078325,481.6980262,
2005,481,16,1.788954057,100.2308019,102.019756,380.1818868,482.2016428,480.4126887,482.2016428,
2006,460,21,1.777565169,90.0747343,91.85229947,381.8812077,473.7335072,471.955942,473.7335072,
2007,467,15,1.794537308,98.11052885,99.90506616,384.1394231,484.0444893,482.249952,484.0444893,
2008,467,18,1.798163894,87.86278846,89.66095235,385.9311538,475.5921062,473.7939423,475.5921062,
2009,461,20,1.806994528,87.93495283,89.74194736,387.5975472,477.3394946,475.5325,477.3394946,
2010,471,12,1.813463913,95.80198068,97.61544459,390.1210577,487.7365023,485.9230384,487.7365023,
2011,470,13,1.816403171,84.692,86.50840317,391.8864878,478.394891,476.5784878,478.394891,
2012,469,17,1.814271498,85.50666667,87.32093817,394.7797101,482.1006483,480.2863768,482.1006483,
2013,465,18,1.830779387,87.46174528,89.29252467,396.9114623,486.203987,484.3732076,486.203987,
2014,459,21,1.842967778,90.93454106,92.77750884,399.0093237,491.7868325,489.9438648,491.7868325,
2015,462,22,1.85191649,92.91658654,94.76850303,401.0612019,495.8297049,493.9777884,495.8297049,
2016,466,22,1.86091726,91.59461538,93.45553264,404.4081731,497.8637057,496.0027885,497.8637057,
2017,468,20,1.865462464,84.4621,86.32756246,406.7567488,493.0843113,491.2188488,493.0843113,
2018,466,25,1.871419706,81.98230392,83.85372363,408.6986765,492.5524001,490.6809804,492.5524001,
2019,470,20,1.873415566,88.93801887,90.81143444,412.0462264,502.8576608,500.9842453,502.8576608,
2020,481,21,1.886481818,88.2430303,90.12951212,413.2942424,503.4237545,501.5372727,503.4237545,
