sample_year,analysis_value,,,,,,
1983,1659.334,,,,,,
1983,1654.272,,,,,,
1983,1645.17,,,,,,
1983,1631.007,,,,,,
1983,1627.97,,,,,,
1983,1609.756,,,,,,
1983,1660.346,,,,,,
1983,1651.235,,,,,,
1983,1622.908,,,,,,
1983,1612.794,,,,,,
1983,1627.97,,,,,,
1983,1634.034,,,,,,
1983,1629.994,,,,,,
1983,1656.296,,,,,,
1983,1628.982,,,,,,
1983,1610.769,,,,,,
1983,1655.284,,,,,,
1983,1622.908,,,,,,
1983,1645.17,,,,,,
1983,1616.833,,,,,,
1983,1611.781,,,,,,
1983,1617.846,,,,,,
1983,1625.945,,,,,,
1983,1623.92,,,,,,
1983,1618.858,,,,,,
1983,1642.133,,,,,,
1983,1638.083,,,,,,
1983,1642.133,,,,,,
1983,1643.145,,,,,,
1983,1669.448,,,,,,
1983,1673.497,,,,,,
1983,1642.133,,,,,,
1983,1640.108,,,,,,
1983,1639.096,,,,,,
1983,1643.145,,,,,,
1983,1646.183,,,,,,
1983,1632.009,,,,,,
1983,1673.497,,,,,,
1983,1668.435,,,,,,
1983,1671.472,,,,,,
1983,1674.51,,,,,,
1983,1663.383,,,,,,
1983,1666.41,,,,,,
1983,1679.572,,,,,,
1983,1677.547,,,,,,
1983,1654.272,,,,,,
1983,1657.309,,,,,,
1983,1655.284,,,,,,
1983,1658.321,,,,,,
1983,1646.183,,,,,,
1983,1651.235,,,,,,
1983,1662.371,,,,,,
1983,1659.334,,,,,,
1983,1656.296,,,,,,
1983,1648.207,,,,,,
1983,1646.183,,,,,,
1983,1643.145,,,,,,
1983,1658.321,,,,,,
1983,1659.334,,,,,,
1983,1650.222,,,,,,
1983,1651.235,,,,,,
6/5/05,1654.272,,,,,,
1983,1659.334,,,,,,
1984,1675.522,,,,,,
1984,1684.623,,,,,,
1984,1646.183,,,,,,
1984,1644.158,,,,,,
1984,1644.158,,,,,,
1984,1637.071,,,,,,
1984,1670.46,,,,,,
1984,1665.398,,,,,,
1984,1671.472,,,,,,
1984,1659.334,,,,,,
1984,1661.359,,,,,,
1984,1649.21,,,,,,
1984,1653.259,,,,,,
1984,1701.824,,,,,,
1984,1654.272,,,,,,
1984,1655.284,,,,,,
1984,1657.309,,,,,,
1984,1654.272,,,,,,
1984,1645.17,,,,,,
1984,1646.183,,,,,,
1984,1655.284,,,,,,
1984,1654.272,,,,,,
1984,1677.547,,,,,,
1984,1674.51,,,,,,
1984,1667.423,,,,,,
1984,1651.235,,,,,,
1984,1654.272,,,,,,
1984,1637.071,,,,,,
1984,1641.121,,,,,,
1984,1667.423,,,,,,
1984,1664.396,,,,,,
1984,1662.371,,,,,,
1984,1650.222,,,,,,
1984,1661.359,,,,,,
1984,1660.346,,,,,,
1984,1626.957,,,,,,
1984,1624.932,,,,,,
1984,1658.321,,,,,,
1984,1655.284,,,,,,
1984,1658.321,,,,,,
1984,1663.383,,,,,,
1984,1637.071,,,,,,
1984,1638.083,,,,,,
1984,1647.195,,,,,,
1984,1742.3,,,,,,
1984,1832.353,,,,,,
1984,1868.769,,,,,,
1984,1617.846,,,,,,
1984,1643.145,,,,,,
1984,1640.108,,,,,,
1984,1642.133,,,,,,
1984,1645.17,,,,,,
1984,1646.183,,,,,,
1984,1636.059,,,,,,
1984,1639.096,,,,,,
1984,1639.096,,,,,,
1984,1642.133,,,,,,
1984,1632.009,,,,,,
1984,1674.51,,,,,,
1984,1677.547,,,,,,
1984,1656.296,,,,,,
1984,1661.359,,,,,,
1984,1678.559,,,,,,
1984,1680.2,,,,,,
1984,1684.27,,,,,,
1984,1654.33,,,,,,
1984,1656.39,,,,,,
1984,1664.49,,,,,,
1984,1667.92,,,,,,
1984,1662.11,,,,,,
1984,1664.54,,,,,,
1984,1682.76,,,,,,
1984,1682.52,,,,,,
1984,1675.18,,,,,,
1984,1673.61,,,,,,
1984,1687.18,,,,,,
1984,1691.26,,,,,,
1984,1682.35,,,,,,
1984,1681.63,,,,,,
1984,1662.71,,,,,,
1984,1665.32,,,,,,
1984,1664.36,,,,,,
1984,1664.65,,,,,,
1984,1683.46,,,,,,
