sample_year,analysis_value,,,,,,
1989,79.06,,,,,,
1989,59.94,,,,,,
1989,63.6,,,,,,
1989,104.39,,,,,,
1989,71.58,,,,,,
1989,71.59,,,,,,
1989,60.44,,,,,,
1989,59.15,,,,,,
1989,79.65,,,,,,
1989,-999.99,,,,,,
1989,95.51,,,,,,
1989,95.02,,,,,,
1989,88.93,,,,,,
1989,89.05,,,,,,
1989,85.48,,,,,,
1989,84.86,,,,,,
1989,83.98,,,,,,
1989,82.79,,,,,,
1989,79.47,,,,,,
1989,70.04,,,,,,
1989,66.7,,,,,,
1989,88.96,,,,,,
1989,87.91,,,,,,
1989,74.93,,,,,,
1989,75.01,,,,,,
1989,77.94,,,,,,
1989,88.14,,,,,,
1989,88.65,,,,,,
1989,91.19,,,,,,
1989,90.4,,,,,,
1989,115.08,,,,,,
1989,92.5,,,,,,
1989,92.82,,,,,,
1989,96.49,,,,,,
1989,90.39,,,,,,
1989,90.58,,,,,,
1989,98.78,,,,,,
1989,98.12,,,,,,
1990,131.32,,,,,,
1990,103.09,,,,,,
1990,103.68,,,,,,
1990,95.23,,,,,,
1990,96.4,,,,,,
1990,106.65,,,,,,
1990,107.45,,,,,,
1990,150.8,,,,,,
1990,154.8,,,,,,
1990,153.18,,,,,,
1990,152.44,,,,,,
1990,100.62,,,,,,
1990,104.36,,,,,,
1990,99.34,,,,,,
1990,100.15,,,,,,
1990,147.07,,,,,,
1990,100.41,,,,,,
1990,101.79,,,,,,
1990,148.36,,,,,,
1990,154.13,,,,,,
1990,113.15,,,,,,
1990,120.53,,,,,,
1990,125.07,,,,,,
6/12/05,141.06,,,,,,
1990,142.47,,,,,,
1990,105.54,,,,,,
1990,123.93,,,,,,
1990,123.96,,,,,,
1990,89.18,,,,,,
1990,99.09,,,,,,
1990,98.11,,,,,,
1990,92.73,,,,,,
1990,93.88,,,,,,
1990,83.95,,,,,,
1990,84.87,,,,,,
1990,81.02,,,,,,
1990,77.11,,,,,,
1990,75.17,,,,,,
1990,75.02,,,,,,
1990,75.89,,,,,,
1990,67.67,,,,,,
1990,68.01,,,,,,
1990,75.93,,,,,,
1990,78.95,,,,,,
1990,71.09,,,,,,
1990,67.99,,,,,,
1990,74.05,,,,,,
1990,76.59,,,,,,
1990,76.87,,,,,,
1990,80.07,,,,,,
1990,99.53,,,,,,
1990,70.41,,,,,,
1990,70.9,,,,,,
1990,70.54,,,,,,
1990,106.7,,,,,,
1990,109.42,,,,,,
1990,83.21,,,,,,
1990,79.67,,,,,,
1990,84.98,,,,,,
1990,78.14,,,,,,
1990,86.36,,,,,,
1990,87.5,,,,,,
1990,72.22,,,,,,
1990,76.88,,,,,,
1990,79.36,,,,,,
1990,79.55,,,,,,
1990,95.48,,,,,,
1990,96.93,,,,,,
1990,95.33,,,,,,
1990,94.38,,,,,,
1990,99.49,,,,,,
1990,103.79,,,,,,
1990,103.27,,,,,,
1990,88.75,,,,,,
1990,87.35,,,,,,
1990,103.19,,,,,,
1990,102.65,,,,,,
1990,123.63,,,,,,
1990,124.3,,,,,,
1990,144.04,,,,,,
1990,143.98,,,,,,
1991,86.11,,,,,,
1991,86.99,,,,,,
1991,110.53,,,,,,
1991,112.39,,,,,,
1991,79.23,,,,,,
1991,77.72,,,,,,
1991,97.74,,,,,,
1991,98.03,,,,,,
1991,86.42,,,,,,
1991,88.1,,,,,,
1991,102.59,,,,,,
1991,101.01,,,,,,
1991,107.6,,,,,,
1991,108.26,,,,,,
1991,128.85,,,,,,
1991,128.62,,,,,,
1991,123.11,,,,,,
1991,121.68,,,,,,
1991,93.55,,,,,,
1991,91.29,,,,,,
1991,138.73,,,,,,
1991,140.72,,,,,,
1991,145.38,,,,,,
1991,145.01,,,,,,
1991,126.92,,,,,,
1991,125.48,,,,,,
1991,155.12,,,,,,
1991,157.96,,,,,,
1991,145.3,,,,,,
1991,144.36,,,,,,
1991,105.12,,,,,,
1991,104.38,,,,,,
1991,182.94,,,,,,
1991,178.39,,,,,,
1991,127.9,,,,,,
1991,128.43,,,,,,
1991,142.26,,,,,,
1991,140.07,,,,,,
1991,122.3,,,,,,
1991,120.94,,,,,,
1991,137.13,,,,,,
1991,135.18,,,,,,
1991,129.66,,,,,,
1991,130.95,,,,,,
1991,122.65,,,,,,
1991,122.2,,,,,,
1991,88.02,,,,,,
1991,88.69,,,,,,
1991,86.23,,,,,,
1991,85.87,,,,,,
1991,85.45,,,,,,
1991,84.49,,,,,,
1991,86.97,,,,,,
1991,86.26,,,,,,
1991,83.68,,,,,,
1991,83.71,,,,,,
1991,82.03,,,,,,
1991,82.85,,,,,,
1991,88.11,,,,,,
1991,87.08,,,,,,
1991,87.59,,,,,,
1991,84.4,,,,,,
1991,85.02,,,,,,
1991,92.85,,,,,,
1991,91.96,,,,,,
1991,67.04,,,,,,
1991,67.3,,,,,,
1991,70.67,,,,,,
1991,69.9,,,,,,
1991,76.84,,,,,,
1991,76.72,,,,,,
1991,69.14,,,,,,
1991,69.89,,,,,,
1991,71.51,,,,,,
1991,70.84,,,,,,
1991,81.92,,,,,,
1991,81.91,,,,,,
1991,91.33,,,,,,
1991,89.72,,,,,,
1991,83.81,,,,,,
1991,82.76,,,,,,
1991,98.4,,,,,,
1991,98.69,,,,,,
1991,91.86,,,,,,
1991,92.06,,,,,,
1991,90.75,,,,,,
1991,91.61,,,,,,
1991,96.09,,,,,,
1991,96.4,,,,,,
1991,108.97,,,,,,
1991,110.46,,,,,,
1991,107.06,,,,,,
1991,110.28,,,,,,
1991,105.18,,,,,,
1991,88.91,,,,,,
1991,88.63,,,,,,
1991,96.62,,,,,,
1991,-999.99,,,,,,
1991,107.86,,,,,,
1991,108.04,,,,,,
1991,90.51,,,,,,
1991,90.01,,,,,,
1991,111.99,,,,,,
1991,110.78,,,,,,
1991,150.58,,,,,,
1991,150.31,,,,,,
1991,139.22,,,,,,
1991,141.31,,,,,,
1992,116.97,,,,,,
1992,116.1,,,,,,
1992,119.68,,,,,,
1992,120.44,,,,,,
