sample_year,analysis_value,,,,,,
1969,323.17,,,,,,
1969,324.72,,,,,,
1969,331.02,,,,,,
1969,-999.99,,,,,,
1969,-999.99,,,,,,
1969,326.28,,,,,,
1969,322.87,,,,,,
1969,342.19,,,,,,
1969,320.32,,,,,,
1969,320.31,,,,,,
1969,322.9,,,,,,
1969,-999.99,,,,,,
1969,320.79,,,,,,
1969,320.44,,,,,,
1969,321.15,,,,,,
1969,321.4,,,,,,
1969,320.28,,,,,,
1969,320.25,,,,,,
1969,321.76,,,,,,
1969,321.27,,,,,,
1969,320.66,,,,,,
1969,320.41,,,,,,
1969,321.4,,,,,,
1969,321.3,,,,,,
1969,320.74,,,,,,
1969,320.37,,,,,,
1969,320.5,,,,,,
1969,320.23,,,,,,
1969,320.7,,,,,,
1969,321.03,,,,,,
1969,323.09,,,,,,
1969,322.7,,,,,,
1969,322.7,,,,,,
1969,321.9,,,,,,
1969,322.94,,,,,,
1969,323.07,,,,,,
1969,323.29,,,,,,
1969,323.31,,,,,,
1970,325.59,,,,,,
1970,324.85,,,,,,
1970,324.73,,,,,,
1970,330.81,,,,,,
1970,325.64,,,,,,
1970,325.4,,,,,,
1970,332.27,,,,,,
1970,347.49,,,,,,
1970,325.94,,,,,,
1970,325.62,,,,,,
1970,325.62,,,,,,
1970,326.7,,,,,,
1970,325.52,,,,,,
1970,324.61,,,,,,
1970,324.48,,,,,,
1970,-999.99,,,,,,
1970,326.49,,,,,,
1970,325.6,,,,,,
1970,325.93,,,,,,
1970,335.7,,,,,,
1970,325.82,,,,,,
1970,325.33,,,,,,
1970,325.51,,,,,,
5/23/05,354.5,,,,,,
1970,336.4,,,,,,
1970,323.59,,,,,,
1970,325.81,,,,,,
1970,327.58,,,,,,
1970,327.13,,,,,,
1970,326.08,,,,,,
1970,326.2,,,,,,
1970,328.73,,,,,,
1970,329.91,,,,,,
1970,337.26,,,,,,
1970,329.03,,,,,,
1970,327.16,,,,,,
1970,329.29,,,,,,
1970,326.76,,,,,,
1970,326.72,,,,,,
1970,328.04,,,,,,
1970,328.97,,,,,,
1970,327.66,,,,,,
1970,327.72,,,,,,
1970,326.2,,,,,,
1970,326.26,,,,,,
1970,323.21,,,,,,
1970,323.2,,,,,,
1970,326.55,,,,,,
1970,326.55,,,,,,
1970,326.53,,,,,,
1970,324.82,,,,,,
1970,324.7,,,,,,
1970,326.14,,,,,,
1970,326.14,,,,,,
1970,325.5,,,,,,
1970,325.4,,,,,,
1970,318.32,,,,,,
1970,317.89,,,,,,
1970,322.16,,,,,,
1970,322.21,,,,,,
1970,324.78,,,,,,
1970,320.85,,,,,,
1970,320.52,,,,,,
1970,317.35,,,,,,
1970,317.07,,,,,,
1970,322.36,,,,,,
1970,322.35,,,,,,
1970,330.61,,,,,,
1970,-999.99,,,,,,
1970,328.65,,,,,,
1970,346.23,,,,,,
1970,334.44,,,,,,
1970,326.08,,,,,,
1970,325.5,,,,,,
1970,327.53,,,,,,
1970,327.02,,,,,,
1970,397.56,,,,,,
1970,349.93,,,,,,
1970,329.25,,,,,,
1970,374.45,,,,,,
1970,380.48,,,,,,
1970,326.39,,,,,,
1970,327.72,,,,,,
1971,326.49,,,,,,
1971,325.91,,,,,,
1971,325.37,,,,,,
1971,325.99,,,,,,
1971,325.42,,,,,,
1971,325.09,,,,,,
1971,325.57,,,,,,
1971,325.48,,,,,,
1971,325.34,,,,,,
1971,325.41,,,,,,
1971,325.61,,,,,,
1971,325.53,,,,,,
1971,328,,,,,,
1971,324.91,,,,,,
1971,326.72,,,,,,
1971,325.61,,,,,,
1971,325.32,,,,,,
1971,324.81,,,,,,
1971,324.99,,,,,,
1971,325.23,,,,,,
1971,325,,,,,,
1971,324.86,,,,,,
1971,325.47,,,,,,
1971,325.34,,,,,,
1974,333.99,,,,,,
1974,344.91,,,,,,
1974,334.14,,,,,,
1974,343.45,,,,,,
1974,377.35,,,,,,
1974,335.06,,,,,,
1974,336.58,,,,,,
1976,333.72,,,,,,
1976,334.02,,,,,,
1976,331.9,,,,,,
1976,331.9,,,,,,
1976,332.19,,,,,,
1976,332.38,,,,,,
1976,331.54,,,,,,
1976,331.41,,,,,,
1976,330.6,,,,,,
1976,331.32,,,,,,
1976,329,,,,,,
1976,329.34,,,,,,
1976,330.79,,,,,,
1976,330.89,,,,,,
1976,330.07,,,,,,
1976,329.92,,,,,,
1976,330.36,,,,,,
1976,330.3,,,,,,
1976,329.98,,,,,,
1976,329.98,,,,,,
1976,329.87,,,,,,
1976,329.97,,,,,,
1976,329.24,,,,,,
1976,329.24,,,,,,
1976,329.53,,,,,,
1976,329.44,,,,,,
1976,327.34,,,,,,
1976,328.16,,,,,,
1976,327.94,,,,,,
1976,327.83,,,,,,
1976,330.73,,,,,,
1976,330.8,,,,,,
1976,329.73,,,,,,
1976,329.59,,,,,,
1976,349.02,,,,,,
1976,329.28,,,,,,
1976,329.12,,,,,,
1976,331.34,,,,,,
1976,331.35,,,,,,
1976,330.98,,,,,,
1976,330.56,,,,,,
1976,331.23,,,,,,
1976,331.03,,,,,,
1976,330.75,,,,,,
1976,331.1,,,,,,
1976,330.93,,,,,,
1976,331.25,,,,,,
1976,331.2,,,,,,
1976,331.02,,,,,,
1976,332.09,,,,,,
1976,332.29,,,,,,
1976,332.02,,,,,,
1976,333.44,,,,,,
1976,332.27,,,,,,
1977,332.33,,,,,,
